--------- beginning of main
01-22 14:15:16.646 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188116, state connected, tech 4G, cid 120762902, pcid 343, rsrp -111, rsrq -17, 
01-22 14:15:17.654 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188117, state connected, tech 4G, cid 120762902, pcid 343, rsrp -111, rsrq -17, 
01-22 14:15:19.305 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188118, state connected, tech 4G, cid 120762902, pcid 343, rsrp -118, rsrq -20, 
01-22 14:15:20.314 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188120, state connected, tech 4G, cid 120762902, pcid 343, rsrp -118, rsrq -20, 
01-22 14:15:21.849 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188121, state connected, tech 4G, cid 120762895, pcid 343, rsrp -109, rsrq -17, 
01-22 14:15:22.859 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188122, state connected, tech 4G, cid 120762895, pcid 343, rsrp -109, rsrq -17, 
01-22 14:15:24.477 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188123, state connected, tech 4G, cid 120762895, pcid 343, rsrp -107, rsrq -15, 
01-22 14:15:25.487 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188125, state connected, tech 4G, cid 120762895, pcid 343, rsrp -107, rsrq -15, 
01-22 14:15:27.080 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188126, state connected, tech 4G, cid 120762895, pcid 343, rsrp -109, rsrq -16, 
01-22 14:15:28.093 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188128, state connected, tech 4G, cid 120762895, pcid 343, rsrp -109, rsrq -16, 
01-22 14:15:29.479 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188129, state connected, tech 4G, cid 120762895, pcid 343, rsrp -109, rsrq -18, 
01-22 14:15:30.487 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188130, state connected, tech 4G, cid 120762895, pcid 343, rsrp -109, rsrq -18, 
01-22 14:15:31.857 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188131, state connected, tech 4G, cid 120762902, pcid 343, rsrp -105, rsrq -11, 
01-22 14:15:32.876 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188132, state connected, tech 4G, cid 120762902, pcid 343, rsrp -105, rsrq -11, 
01-22 14:15:34.466 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188133, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -15, 
01-22 14:15:35.475 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188135, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -15, 
01-22 14:15:37.369 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188136, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -15, 
01-22 14:15:38.409 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188138, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -15, 
01-22 14:15:40.078 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188139, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -15, 
01-22 14:15:41.111 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188141, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -15, 
01-22 14:15:42.663 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188142, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -13, 
01-22 14:15:43.677 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188143, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -13, 
01-22 14:15:45.333 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188144, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -13, 
01-22 14:15:46.342 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188146, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -13, 
01-22 14:15:48.039 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188147, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -14, 
01-22 14:15:49.080 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188149, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -14, 
01-22 14:15:50.658 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188150, state connected, tech 4G, cid 120762902, pcid 343, rsrp -103, rsrq -18, 
01-22 14:15:51.667 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188151, state connected, tech 4G, cid 120762902, pcid 343, rsrp -103, rsrq -18, 
01-22 14:15:53.238 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188152, state connected, tech 4G, cid 120762902, pcid 343, rsrp -103, rsrq -12, 
01-22 14:15:54.246 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188154, state connected, tech 4G, cid 120762902, pcid 343, rsrp -103, rsrq -12, 
01-22 14:15:55.833 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188155, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -13, 
01-22 14:15:56.845 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188156, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -13, 
01-22 14:16:35.141 12354 12354 I trimble.duo.avtp.radio.RadioService: Service data storage located at /storage/emulated/0/Trimble_Duo/data/trimble.duo.avtp
01-22 14:16:35.141 12354 12354 I trimble.duo.avtp.radio.RadioService: Service log storage located at /storage/emulated/0/Trimble_Duo/logs/trimble.duo.avtp-0.1.16
01-22 14:16:35.141 12354 12354 I trimble.duo.avtp.radio.RadioService: Initializing RadioService (0.1.16)...
